Country,Tree_Cover_Loss_percent,CO2_Emission_mt,Rainfall_mm,Population_Million,GDP_Billion_USD,Deforestation_Policy_Strictness,Corruption_Index,Protected_Area_percent,Forest_Loss_Area_km2
Canada,1.636545645655396,598.9270123504656,917.8299144929446,168.4968216689449,1054.7822914148105,Medium,21.434672482796525,13.357988240233354,12193.378693700326
Tanzania,13.548038309525543,163.6772892971673,919.6195704937847,6.542735995159257,261.55007210057045,Low,32.431113272391556,21.762901919905964,4771.260833792114
Russia,7.628260349473071,535.4450442155136,513.6814234939832,229.49227420828768,1258.4052399409345,Medium,86.814165123736,46.788375295192736,12854.309031263461
Myanmar,12.41421624500535,1499.2997463272611,2682.8462467034856,15.416849707370526,968.091610437011,Low,38.115263127626136,7.781380731015019,10323.839750320734
Canada,4.868739055356115,1111.418921421995,2457.794035627596,224.99146590571348,2047.5058872182776,Low,46.57034954129118,9.156223765012033,8876.116203637928
Colombia,13.443296104593387,2242.41210658474,1871.355714824423,64.73176524874503,1837.0487858854365,Low,27.900911336099988,12.325594514280322,27960.994963807316
Nigeria,5.89910501313903,2061.864548172258,3016.928391804511,287.63167663521716,1125.551498182743,Low,36.677097856112766,31.784577535709364,24009.595370109957
Canada,0.2614810070564456,920.3616440749023,2897.577474145165,113.54252163411492,692.7830350522208,Medium,58.94184280851538,11.771252195269886,0.0
Russia,13.590191448647028,722.6162402351019,2214.5985296299314,101.44482681973334,2964.706100158996,Medium,65.58145123217395,48.563437165283005,0.0
Myanmar,1.4601714841133902,1011.2617796014406,3091.6409695911016,48.92197484807118,1389.304782528539,Low,38.40142356246583,25.102153726633414,2297.1780087314874
Tanzania,4.857773200097181,1516.7078620355385,1038.1077511139815,95.1532435696134,2080.4089955516993,Low,24.32991194188379,27.568308215757487,13593.198021571743
Russia,14.255923309056993,743.352737974903,746.9508201329564,263.6119747393192,464.6312543561643,Medium,49.327465184554896,16.09963771124329,17581.367498977677
Russia,14.264046489369585,1597.9573788379216,1236.2237957026678,298.91862960003795,1482.4896139952234,High,37.56525281947506,26.19321135956301,29702.323920322564
Nigeria,8.644224533036963,1082.587965258977,576.9692538768761,113.65131149952026,131.23332361492317,High,36.466544242235145,34.78611346866552,19769.664416701737
DRC,9.514374461330009,1424.9132340447525,2046.6255368031993,137.34013613159004,1541.0925978358273,Medium,91.98971020350915,38.802971162931925,19761.254472462755
Myanmar,6.7818382774769645,1146.70366992476,3303.4776461143806,218.01092676980744,2893.8513509972217,Low,66.2225364444293,38.924063721946084,1962.6643585842694
Indonesia,4.468840498301161,806.7178229006024,521.9649760723798,266.427755237197,1183.4098033081107,Low,61.76588323790719,31.005100071233976,27761.19135576414
Russia,4.997101726011747,2376.287936709176,778.540733431083,179.9480785851013,165.0382370959892,High,51.183132764249144,45.69618987472357,27507.846931278134
DRC,10.120524995547873,1932.653905983426,1801.8169876786494,120.50008096245965,141.3195832120634,High,52.17082500726082,41.78335312877492,6626.3332460406855
Indonesia,11.310380488621432,436.2716218394861,3295.012554336505,126.723443050344,1194.560941843265,Medium,60.56787528785606,39.06716516143815,0.0
Myanmar,11.894527751515144,2184.323142154991,1380.0839254279267,210.20735321655803,522.0735625664224,High,72.23223552770804,7.502248475620728,28710.271981732243
Brazil,11.865310327638852,1269.8348757988329,1972.4279069340166,5.949387763262211,118.88868416814844,Medium,72.6609572136372,5.309508299884219,419.4360974847759
Colombia,1.4589709354254865,2246.9253445458194,528.8758630562155,187.778854550653,2280.8301611530214,High,32.877043077908716,14.560127473796284,29759.90580416681
DRC,7.466862540068464,2019.6526142735565,859.8639229824755,109.87043808020043,1402.6428762015776,High,57.508456405747026,34.85856172610535,24807.24456165151
Australia,0.9576255242479998,1120.5124107261604,3458.5533811724254,239.28821272673986,903.2720773193308,High,50.89685712755765,23.503886999714563,6496.746536016773
Brazil,8.287980346623659,153.92633996828175,3391.867958951741,32.43223874782399,2705.245389898618,Low,85.28952247020382,23.10828166846903,0.0
Colombia,6.678804470463318,744.8256625238706,415.3139408966698,178.5196687497752,392.60993259155055,Low,67.35641909137823,44.806409970332616,10064.882616044333
Nigeria,13.326792323098667,1399.9221151860806,3350.6165348120408,146.8870025164065,2869.9605454181915,Low,59.93780498119864,45.30032816593274,6498.341794133549
Canada,5.328633687025972,1620.3477275827534,2381.2718072280513,194.4860301420421,976.2018162631908,High,28.654598163418804,45.91288688241136,4556.270753768271
Tanzania,1.8442985447713276,718.9304450396855,3090.5467130120687,24.131810372475663,2670.7908333106097,Medium,65.42284169925586,19.124513443176227,0.0
Australia,2.2305760625872546,434.45457777477793,1809.6935524649632,176.09521729129872,1828.6814856144115,Medium,28.790292926017507,36.09751157326678,325.6271224646216
Nigeria,11.446508412590337,2103.832568318318,1998.3476885956757,170.6379534480595,2488.786711237388,Medium,45.29049316743141,17.22349315734663,19740.315450086142
